PageURL,TableHeader
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_request,Purchase Request Code
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_request,Purchase Request Name
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_request,Requester
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_request,Department
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_request,Request time
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_request,Status
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_request,PO No.
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_request,Options
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Purchase order
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Vendors
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Order date
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Type
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Project
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Department
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,PO Description
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,PO Value
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Tax Value
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,PO value inclued tax
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Tags
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Approval status
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Delivery date
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Delivery status
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Payment status
http://localhost:8080/oshaiger-bgsoft/admin/purchase/purchase_order,Convert to expense
http://localhost:8080/oshaiger-bgsoft/admin/purchase/proforma_invoice,Title
http://localhost:8080/oshaiger-bgsoft/admin/purchase/proforma_invoice,Ref. No.
http://localhost:8080/oshaiger-bgsoft/admin/purchase/proforma_invoice,Date
http://localhost:8080/oshaiger-bgsoft/admin/purchase/proforma_invoice,Vendor
http://localhost:8080/oshaiger-bgsoft/admin/purchase/proforma_invoice,PO Number
http://localhost:8080/oshaiger-bgsoft/admin/purchase/proforma_invoice,Shipped Via
http://localhost:8080/oshaiger-bgsoft/admin/purchase/proforma_invoice,Currency
http://localhost:8080/oshaiger-bgsoft/admin/purchase/proforma_invoice,Total
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Invoice number
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Vendors
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Proforma Invoices
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,GRN Number
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Invoice date
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Recurring from
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Invoice amount
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Tax Value
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Total included tax
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Payment request status
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Payment status
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Transaction ID
http://localhost:8080/oshaiger-bgsoft/admin/purchase/invoices,Tag
http://localhost:8080/oshaiger-bgsoft/admin/purchase/order_returns,Order Return Number
http://localhost:8080/oshaiger-bgsoft/admin/purchase/order_returns,Vendor
http://localhost:8080/oshaiger-bgsoft/admin/purchase/order_returns,Total amount
http://localhost:8080/oshaiger-bgsoft/admin/purchase/order_returns,Discount total
